ID   Time    N0      N1        N2         D0       D1          C       L
61  |6.1 |433.313|169.11  |7.5769     |52.693 |3.59564   |6.82376  |28.965
62  |6.2 |438.076|173.988 |7.93608    |53.2721|3.69936   |6.94427  |29.3426
63  |6.3 |442.781|178.913 |8.30562    |53.8443|3.80409   |7.06498  |29.7173
64  |6.4 |447.429|183.885 |8.68563    |54.4095|3.9098    |7.18587  |30.0892
65  |6.5 |452.021|188.903 |9.07619    |54.9679|4.01648   |7.30695  |30.4583
66  |6.6 |456.558|193.965 |9.47742    |55.5196|4.12412   |7.42821  |30.8246
67  |6.7 |461.039|199.071 |9.88939    |56.0646|4.23269   |7.54966  |31.1881
68  |6.8 |465.467|204.221 |10.3122    |56.603 |4.34218   |7.67129  |31.549
69  |6.9 |469.841|209.413 |10.746     |57.1349|4.45258   |7.7931   |31.9071
70  |7   |474.162|214.647 |11.1907    |57.6604|4.56387   |7.91509  |32.2626
71  |7.1 |478.431|219.922 |11.6467    |58.1795|4.67603   |8.03725  |32.6154
72  |7.2 |482.648|225.238 |12.1138    |58.6923|4.78905   |8.15959  |32.9655
73  |7.3 |486.814|230.593 |12.5922    |59.199 |4.90292   |8.2821   |33.3131
74  |7.4 |490.93 |235.988 |13.0819    |59.6995|5.01761   |8.40478  |33.658
75  |7.5 |494.997|241.42  |13.5832    |60.194 |5.13312   |8.52763  |34.0004
76  |7.6 |499.014|246.89  |14.0959    |60.6824|5.24943   |8.65065  |34.3403
77  |7.7 |502.982|252.397 |14.6203    |61.165 |5.36652   |8.77384  |34.6776
78  |7.8 |506.903|257.941 |15.1564    |61.6418|5.48439   |8.89719  |35.0125
79  |7.9 |510.776|263.52  |15.7042    |62.1128|5.60301   |9.0207   |35.3448
80  |8   |514.602|269.134 |16.2639    |62.5781|5.72237   |9.14437  |35.6747
81  |8.1 |518.382|274.782 |16.8356    |63.0378|5.84247   |9.2682   |36.0022
82  |8.2 |522.117|280.464 |17.4192    |63.4919|5.96328   |9.39219  |36.3272
83  |8.3 |525.806|286.179 |18.0149    |63.9405|6.08479   |9.51633  |36.6499
